category,vendors,text
Electronics_5,CG,"As the owner of a small business, the only thing I can say is that I am not an expert on software. The software is solid and works well. I'm a professional and have used many computers in the past. I am very pleased with the price and the quality of the products. I would recommend this to anyone who has a computer. I bought these for my husband's older one. He had to use them for a few hours and they didn't work very well. He uses them for his music and the sound quality is really good. This is a great case for a DSLR. It is easy to put on, holds the camera securely, and is very durable. I would definitely recommend this to anyone looking for a case for a DSLR. This is a great product!  I have used it for almost a month now and it works well. It was very easy to install and the cable is very durable. It has a lot of features and looks very nice. I am happy with it. I would recommend it to anyone looking for a case for a DSLR."
Electronics_5,PS,"The quality of the watchband is excellent, the controls are intuitive, and the display is bright and clear.  The watchband is a solid piece of equipment, but the watchband is a bit bulky.  It will not fit a wrist strap.  This is a problem for most people.  The watchband is the most convenient option for me, and I think it has the best potential to be"
Electronics_5,OP,"Used it for my wireless router. The only problem is that it's not really a router, but"
Electronics_5,OP,"SanDisk 16 GB microSDHC Flash Memory Card SDSDQ-016G (Bulk Packaging) - Class 2 is a premium product, worth beyond their price ... therefore it is highly recommended for their utility"
Electronics_5,LA,"Had it for about a week and it still works fine. If you have a larger computer (or have a computer with a larger screen) the TRS-80 should work fine. I had this for a few months, and it worked great. I used it for a couple of weeks and then it stopped working."
Electronics_5,SA,"Works perfectly. My only qualm is that it has more ports than I need, but it was the best value of the options I reviewed so the extra ports don't bother me. Who knows, maybe I'll need them in the future - and not I have them just in case."
Electronics_5,KK,"After recently ordering a new pair of headphones, I decided to purchase a pair of the Denon.

I had a pair of Denon earbuds before, and I wanted to go back and purchase them.

I was skeptical about the Denon's functionality, but after seeing a few reviews on Amazon, I decided to give it a shot.

I plugged it into my computer, and I immediately noticed that the Denon was connected to the Denon's HDMI port.

The Denon seems to be working, and I was able to enjoy the audio and videos, and the Denon's HD was a breeze to use.

The Denon's audio quality is amazing, and the Denon's HD is excellent.

I had a Denon 3D headset, and it sounded great, too.

The Denon's audio quality was very good, and the Denon's HD is great.

The Denon's audio quality is great, and the Denon's HD is great.

I tried the Denon's HD on a Samsung Smart TV, and I was very happy with the sound.

The Denon's audio quality is very good, and the Denon's HD is great.

I was able to enjoy the audio and video, and the Denon's HD was a breeze to use.

The Denon's audio quality is very good, and the Denon's HD is excellent.

I was able to enjoy the audio and video, and the"
Electronics_5,AD,"As many of the previous reviews have stated, these are non-focusing, fixed focus binoculars. There is absolutely nothing you can physically adjust on these. They're great for long distances, but horrible for anything within 100-150 yards. We used these on a recent trip to Yellowstone and, for the most part, they worked flawlessly. I bought these for my wife, who is not very adept at using bino's, so that she wouldn't have to fiddle with anything and see exactly what she wanted without effort.......and for that they worked brilliantly! We're going to use these next year (2017) for our Alaskan cruise. Hoping they perform just as well!"
Electronics_5,UG,"bought for my niece as a gift and she loves it.

The only reason I gave it"
Electronics_5,NG,Worked instantly on a MacBook Pro (mid-2017) while using it in conjunction with an Anker USB hub. No config needed and automatically defaulted to priority over the laptop's wireless connection. The only thing I don't like is the repeated blinking light when plugged into a USB hub when the laptop is no longer present.
Electronics_5,SK,"got them for my parts, and I am very pleased with them. The only downside is that the case is a bit stiff."
Electronics_5,ABJ,"I use it to hold my iPod and the iPod Nano.

The only reason I gave it"
Electronics_5,NG,Stopped working after less than a year.  Don't waste your money.
Electronics_5,OR,"I have four of these and have never had any issues.

The only reason I gave it 4 stars is that the plastic parts are too small to fit comfortably in a case. The case is made of plastic and the plastic part on the bottom is very soft. If you have a large laptop with a keyboard, the case will not fit.

If you are planning to use a case for a Kindle Fire or iPad, the case will be perfect.

Overall, I am very happy with my purchase.Works great, does what it is supposed to do.  Was a little more expensive but it worked great.

I would not buy this again.This is a great product.  I have used it for years and I can tell that I have had no problems.  It is sturdy, it does not have any screws, and the tip of the tip is a little hard to lift.  It also doesn't fit in the bottom of my ipad.  The tip is a bit uncomfortable but not uncomfortable.  I would not recommend this product.I love it!Great sound.  I love it!  I have a Koss CZ-1 that is a bit louder than this.  It is a bit louder than the Koss CZ-1 that is a bit louder.  I love it!I bought this because it works great for my iPod Nano.  It works great for the iPad mini.  It's very easy to use and it's very"
Electronics_5,TA,Comfortable pads that fit on the outside of the ears. (not on top so it doesn't crush the ears) The mic is clear and crisp. The sound is premium. Lots of play room so it's not squeezing my head as I have ran into in the past with other headsets. GREAT product and not too expensive.
Electronics_5,PH,has a rubbery feel and and is just the right size for the ipod 5.. a gloss back color.. can be taking on and of with no problems..
Electronics_5,LA,"Amazon.com didn't ship the complete set of adapters.  I've tried several of them, but one is a pair of the same size, one is the same size, and the other is the same size.  It's a little pricey for one set, but for two sets, it is worth it.  I've tried them all, and none work well with the same adapters.

So if you want to use the adapters for any purpose, you will need to buy the adapter for your needs.  You can buy the adapter for the same price you would need for the camera and/or other device. "
Electronics_5,EG,This is a great product.  I love the feel of the lens.  The only thing that
Electronics_5,AD,"As others have said, they are a bit tinny, however, for my relatively simple needs, they're fine. I got them to replace an old pair of speakers for my desktop. They're even adequate for music for non-serious listeners, but the bass, as has been said, almost disappears. I also wanted something relatively small, due to limited desktop space, and these certainly are---the other speakers certainly weren't huge, but these really do give me some extra space. Lastly, as has also been said, the instructions talk about two cables, a green and a pink, which is usually for input with a microphone. However, there's only the green cable, which is fine. Plug it into the input jack, plug the normal size power cord into an outlet, and you're good to go. (The fact that it's a standard 2 prong plug, rather than a large brick like my old speakers, was a further bonus. )

4 rather than 5 because of the tinniness, but for low cost, adequate computer speakers for those who aren't really hard core audiophiles, they can't be beat. (Also, they are somewhat nicer looking than the illustration, which has also been said."
Electronics_5,UG,Does this thing charge USB ports?  Not anymore. My computer is a Lenovo Yoga 4. 0 and I had to replace a USB port with the USB one. I plugged this into a USB port on my laptop and it was working fine.
Electronics_5,CG,This speaker will fill a good sized room and the bass is great. I use it for teaching and the students can always hear the music.
Electronics_5,TA,"Get them for $149 here: http://www.amazon.com/gp/product/B00G6Q6GXC/ref=cm_cr_arp_d_rvw_txt?ie=UTF8&psc=1&psc=1

They work well. I have a portable player, a tablet, and a DVD player. I also use a USB hub, so I can plug it into any USB device and connect to my computer.

I have no complaints. I would recommend these for anyone who wants to use them with a camera and/or other device.I bought this because it has worked flawlessly for over a year, and I like it.  I also like it for those of us who are not wired.  I was able to watch some cable TV from my car with this cable.  I also like it because it has a USB port on the front of the unit that lets you plug in"
Electronics_5,SK,A great camera. The share function is nice. It is a little noisy but not too noisy.
Electronics_5,SK,A little smaller than my vintage 13 inch simply because this screen is wide and my old one was longer from top to bottom. But it serves the purpose quite nicely for the kitchen. I use it with my blu-ray dvd player and it is awesome. The sound is tinny even though I use external speakers. Don't know if a better pair of speakers would raise this rating but for the price of the TV I son't know if it would be worth the investment. I like it very much.
Electronics_5,ZA,Works just fine. I have it running from my 4K TV to my laptop to play games on it and haven't experienced any issues.
Electronics_5,ABJ,These worked great would recommend this itemGreat Product!Very good quality.Nice little speaker! Works great
Electronics_5,EG,"Love this cable! My data throughput has definitely increased, and the cable being flat allows it to run beneath my large area rug undetected. Add the normal fast Prime delivery = this was a great purchase."
Electronics_5,SA,"This product gets the job done. The only problem is that it comes with a small screwdriver. I bought this for a friend, and he is very happy with the purchase. The only thing I wish it had been a little bit better for is the battery life. The battery life is about 8 hours, and it will charge the phone right up to the day of the trip. It will charge the phone as long as you have the phone plugged in, so if you want to charge your phone before the trip, you can charge it for about an hour."
Electronics_5,TA,This SSD was on sale for a little over $30. The drive is a solid performer. I had a lot of trouble with the drive and it took a lot of time to get it to work. I am very pleased with the performance. I would definitely buy from this company again.
Electronics_5,OR,Very nice case.  Solidly holds my iPad with ease.  My only complaint is the screen is a little hard to read.  The case is designed to be easy to take off and on with no problems.  Just be aware that this is a thin case and it will not fit perfectly.  It will not fit the iPad properly.  I have not tried to use it with any other case but I guess I am not sure if it will be an issue.  I will update if I find another one.I bought this as a replacement for my old version of the iPad.  It works perfectly.  I have used it a couple of times and it has never stopped working.  I have never had a problem.I bought this to replace my old Sony DSLR and it was a steal!  It works very well and I'm happy with the purchase.  I love the features and the price was right.  I would recommend this to anyone looking for a quality product.I love this case.  I have been using it for several months and I would highly recommend it to anyone looking for a case to protect your phone or
Electronics_5,UG,"First off, I recieved the parts on time, in appropriate packaging. Adding these two sticks of ram to my older Core-Duo desktop running on Win7 64bit was a no brainer. Install was a non issue, ok, they fit correctly. So far no problems with the performance and reliability. This PC is on 24/7 since I use it as my DVR, (thank you Win Media Center & digi tuner). These two sticks run nice and cool, compared to the 3 1GB sticks that where in there before & ran hot. There is noticeable faster file tranfers and file management. Large pictures and video files open without waiting. Blue Ray disks also load faster.  Thank you Komputerbay."
Electronics_5,ABJ,"This case fits my Kindle Fire perfectly and the materials are thick enough to make it comfortable to carry.

I had to replace a"
Electronics_5,QW,"Much better performance than the old ones, with the exception of a minor bump in the bass response."
Electronics_5,UG,great love having the different ones especially because i loss one once in a while.
Electronics_5,KR,Excellent........ Knivio BTD-400 Bluetooth 4.0 Adapter.  Plugged into my Windows 8 Desktop Asus computer and it quickly installed without additional software Adapter. Very easy to installed  with no problems. This unit was plug and play in both a Windows 8 PC and an Asus eeePC Net-book running Ubuntu 12.10. No extra software install was involved - just using what was already in the systems. Also I connect it to my Bose Soundlink Mini Portabler Speaker System BT bluetooth and it works great! easy install and easy to operate.
Electronics_5,LA,"Exactly what I was looking for. The quality is good but it's not really the best one.I bought this for a friend, and"
Electronics_5,LAG,This router drops the signal on a consistent basis.  Too bad it started happening after my 30 days and I can't return it.  Plus one of the antenna's fell off during the initial installation
Electronics_5,PS,"This case is good but not as good as the other two.  The only reason I gave it 4 stars is that the plastic part is too small to fit comfortably inside the case.  If it had been smaller, it would have been a better fit."
Electronics_5,ABJ,I've used this camera ever since attending a One Direction concert. It made the concert so memorable because of the hi def recording feature. The pictures all turned out wonderful. It's an easy camera to use and I'm very happy with my purchase
Electronics_5,ZA,"Wow! This bag is great!  I love the materials and the construction. The zipper is pretty sturdy. The pocket is nice, but the zipper is a bit too wide. The only thing I wish it had was a flap on the front. Otherwise it's a great bag. Great product. Worked great for my Raspberry Pi 3 and it is a solid unit. I have had it for about a month now and it still works great. It's very easy to use and works great."
Electronics_5,TA,As long as they don't lose any files from my weddings I love them. I have never lost files from a wedding so I worry when I purchase new CF cards. So far so good.
Electronics_5,OP,"I used these by the millions (well, maybe not millions...). Not thick or super grip, but the extra length makes up for that. At the price of these you can use them everywhere. Also, cut them in half for smaller cords."
Electronics_5,TA,"I bought this for my Windows 7 Desktop PC.  I was tired of running a cord from my router in the bedroom to the living room where the PC resides.  I have a Linksys e3000 Router which is a top of the line router.  I wanted a wireless USB device which would allow me to have a full 300MB/s connection.  This one fit the bill and was reasonably priced so I went with it.  After downloading the right drivers from the web I was set to go.  Unfortunately, I could not get a connection higher than 130MB/s.  It seems this device will only work at the full 300MB/S on the 2.4GHz band (not the 5GHz band) and only at the wider channel widths.  I set my router up this way but this would still not pick up at the full 300MB/s.

This would have been bad but not a deal breaker.  But then the device would not keep a stable connection.  It would keep dropping the connection despite the fact that the router was working just fine.  Confirmed this by using my iPad, iPhone, and my Windows laptop to connect to my router every time the connection went down.  They all worked fine.

Given these problems I decided to return the device."
Electronics_5,KR,"Great for this price point.  I love the feel of the lens.  The zoom is awesome.  If you want a high quality lens, then this"
Electronics_5,ZA,"Decent quality and works great with the power button on the Trio AXS.  None of the generic 8"" covers I tried would work since the power button is on the upper edge of one side and the holders in the other covers would hit the button.  Since this one uses three clamp locations it is not an issue.

The back cover folds pinch in if you use the elastic strap to hold the cover closed, would have been five stars if that did not happen."
Electronics_5,AD,"These Adapter are a MUST have for the wide variety of USB devices.

The only downside is"
Electronics_5,KK,Ummmmm . . . this actually didn't work with my Mac.  Didn't work with Yosemite.  Gave it away to someone who had Windows.  Maybe they fixed the problem but I don't have it anymore.
Electronics_5,OR,"I ordered this not even thinking about the chance of it not fitting on the front fans of my Antec 900 since there's 2 walls protruding on the sides of the front of the case. I got it to fit by cutting at it though. I wouldn't suggest doing it but hey, it works now!"
Electronics_5,MX,Great receiver for the money.  I love the controls.  The remote is a little confusing and difficult to use.  The receiver is solid and works well.  I would definitely recommend this product.  Just be aware that your receiver will need some improvement.I purchased this device for the purpose of a family-oriented DVD player.  I have a Samsung Galaxy S4
Electronics_5,NG,Used this to mount an iPad Pro 3 with the instructions included in the instructions for the iPad Pro 3. The instructions are very clear.
Electronics_5,MX,"The only word that discribes this is perfect ! I turn it on and it connects to my phone without difficulty ! My voice is very clear to the person on the other end of the phone ! I love my new hands free device , makes my driving and talking safer ! Get it for someone you love, just as my husband did for me ! :)"
Electronics_5,SK,I purchased this for my daughter's iPad mini and she loves it.  It's been a great buy and I'm sure I will use it in the future.This is a great product. It is well made and the cover is very thick. I like the way it looks. I love it. I have a portable player and I can use it on my laptop. I also use it on my ipad and it is great for gaming. I like that the screen is very small and that the back is a little smaller. I use it on my ipad and it is very easy to use and use
Electronics_5,EG,"If you are buying this, do NOT buy the third generation Intel Gb-based Core i7-4790K CPU. The Intel Gb-based Core i7-4790K is a great choice for a large data center. If you are looking for a cheaper CPU with better performance, this is the CPU for you. I am very happy with this purchase. I would recommend it to anyone who is looking for a higher end CPU that can handle a higher data center. This is my second Asus laptop. I love it and it fits great!  I'm using it with my desktop computer. It's been working flawlessly for over a year now and I'm happy with the purchase. I can't think of a better keyboard for it. My only wish is that the keyboard would have a metal case to hold my other keys."
Electronics_5,SK,"I never actually got to use this.  It seemed to be charging fine, but after the first day, it stopped charging and is now useless.  Unfortunately the package got thrown out so now I cannot return it, but if I could, I would."
Electronics_5,KR,"I was very impressed to find a professional quality product. I will be purchasing a couple more of these. If you are looking for a solid and reliable product, this is a very good buy.I had this for a few months, and it worked great.  I used it for a couple of weeks and then it stopped working.  I have a Samsung Galaxy S4 and the Galaxy S3, and it still works fine.  The sound quality is a little better, but not bad.  I don't know about you, but I'm not an audiophile, so I'm not sure if it's good enough for audiophile purposes.  I'm not a big"
Electronics_5,OR,"I bought this for a few reasons, 1) it is a nice piece of equipment, and 2) it works very well.

Pros:
-Highly adjustable angle
-The angle is adjustable and adjusts to your head.
-This lens is excellent.
-It is a bit smaller than I expected"
Electronics_5,OP,"Similar issue to another recent reviewer.  The screen I received did not have LP133WF2 anywhere on it, except for a printed sticker on the cardboard packing.  Instead, the labels on the screen itself said N133HSE-EA3.  The port on this particular screen is on the opposite side from the cable and the OEM screen.  The cable is too short to reach to the opposite side, and after removing the bottom cover, I discovered you can't even move the cable to the other side as the port on the motherboard is on the same side as the OEM screen.  Frustrating given the inaccurate product name, description, and images.  Further frustrating because it took 4 days to ship, although it is prime eligible and in stock!"
Electronics_5,NG,It really helps having lighted up the whole room.  I also love that it's been powered
Electronics_5,KK,"Good sound quality, excellent durability.  I love the long cord.  I also like the fact that the cord is adjustable.  I am using it with the TRS-80 and it is comfortable to wear.  I would highly recommend this product.I bought this to replace a broken one I bought for my TV. I did not want to have to replace it since the unit"
Electronics_5,EG,"They fit way too tight, hurt my ears. Returned and received a refund."
Electronics_5,OR,Bought these Binocular for plinking and it works fine.  I will keep my Binoculars and other binoculars.  I am using this with the
Electronics_5,KK,I have no complaints with this HDMI cable. Tripp Lite products are really starting to impress me in their quality  and performace of their products. Thanks.
Electronics_5,OP,"I  was offered a $60 free shipping on return for a return for my purchase.  I returned it.  The plastic parts are very clear, and the cover is very sturdy.  The only complaint I have is that the case is very thin and doesn't protect the tablet perfectly.  It's a shame the case has a ""plastic"" feel to it.  I wish I would have paid more for a case that would have protected it a little better.  Overall, I'd give it 5 stars,"
Electronics_5,SA,Works great for my raspberry pi. The only problem is that it doesnt turn on the screen when you
Electronics_5,CG,The device stopped functioning after the first use. Changed battery a few times but would not power on or record audio when attached to the camera. The build felt cheap and I regret not saving a little and going with something a bit more expensive with higher quality.
Electronics_5,KK,"This is a great little speaker. The only problem is that it's small, and the sound is weak. I had to replace a speaker that is around 6 inches in diameter, and that's not a problem. It's a great little speaker. The only problem is that it's small, and the sound is weak. I had to replace a speaker that is around 6 inches in diameter, and that's not a problem. It's a great little speaker. The only issue I have is that it's not very bright, but it is not bad. I just wish that it was brighter."
Electronics_5,KR,"These speakers are ok, but not great.  I just wish they were more like the ones that came with my Bose speakers.  I also bought the TRS-80, which"
Electronics_5,QW,Work perfect and for very little money.  Great sound for the price!This is a great speaker.  Great sound and the price.  The sound is crystal
Electronics_5,ZA,"Camera works good. I'm using it to watch an ad in the morning.

The only downside is that it's very small. I think it is the plastic"
Electronics_5,UG,I bought this so my old ones couldn't be used anymore. This is the first one I've owned that had a plastic screen protector and is the first one I've purchased that does not have a screen protector. I am very pleased with the quality of the product. I love it. Works great. I did not want the cable to fall out of the charger. I didn't want the cable to be bent over and on my charger.
Electronics_5,PS,"I was at the store and bought the case and decided to purchase it for my daughter's tablet.

I had a lot of trouble with the case and the cover was very flimsy. It was hard to get the cover to slip around the tablet and to secure it in place with the tablet. I ended up going with the case and the cover"
Electronics_5,MX,"Sound and clarity are good, and the contrast ratio is good too.  The only reason I gave"
Electronics_5,LAG,It seems like the glass is a little too thick. I will admit that it's been a little
Electronics_5,PS,"Excelent, i was bouth one, and it was the best i've ever used,"
Electronics_5,LAG,"Great price, fast shipping, good quality replacement Apple style cord. I'm not sure if this will work for ""all' Apple Chargers do to a small circuit board inside transmitting specific charger information. If its circuit board and YOUR Charge doesn't match then this replacement may not work properly. You might try contacting this seller to verify if it will work for your situation. I may have gotten lucky."
Electronics_5,AD,The trick is to READ THE DIRECTIONS before you put it on.  I didn't with the first screen I tried to apply and didn't do it right. Fortunately there are 3 screens here. Read the directions and put the last two on my two cameras.  They fit very nicely and allow the touch screen to function well while protecting it.  And you can't beat the price!
Electronics_5,CG,"I purchased this to audit my office wireless network and it was well worth every penny. Using the Alfa AWUS036H I was able to decrypt our 128-bit WEP key within 45 minutes on the first attempt, and a mere 20 on the second attempt. I knew WEP was insecure, but even though the AP was set to use MAC address filtering and no broadcast SSID, I was able to collect enough information to decrypt the WEP key and authenticate to the network. Needless to say, the office wireless has since been upgraded with an access point that supports WPA-PSK2 with AES. WEP offers little to no security, and this device can help you prove that to anyone making purchasing decisions, or even to yourself if you're a skeptic.

The Alfa AWUS036H is also good to carry around if you travel a lot and need the extra power and range (hotel wireless networks typically have a high noise threshold) to get a more stable signal. I use it with a 6 ft. USB extension cable to find the best location for signal reception. This device provides better reception than wireless adapters costing several dollars more and is an indispensable tool for wireless security auditing, I highly recommend it.

NOTE: One thing that was not clear to me was what was contained in the package and this item does come with the suction cup holder, which is not a bonus item as another vendor's listing would seem to indicate."
Electronics_5,PH,"I bought this for my daughter to use with her iPad 2. She loves it!Very nice.I bought this for a friend, and she loves it.  She is very happy with it.  It is a good value, and it is going to be a great purchase for the money.  I have a few of them in the house and they are very strong.  They are very comfortable, and I like the fact that they are so small that I can carry them in my purse or carry them around the house.  I love that they are small enough to fit in a pocket, and the speaker is great for listening to music in the car.  I am very pleased with this purchase.This is the best case for my Macbook Pro. I've had it for a while now and I have no complaints at all. I have a few other cases"
Electronics_5,AD,"Sound quality is pretty decent for the price, but what this stands out for is ease of use. I have an LG 60LB6300 60-Inch TV and at the very least you can remove this from the box, sit it on the entertainment center below the TV, plug it and the sub in and that's it. With my TV I can send the audio wirelessly which worked well, but I chose the optical cable instead. Even with the optical cable the sound bar turns on and off automatically without exception. The sub syncs by itself, and Bluetooth worked great but I only used it when I first opened the box to hear the sound from this bar. One thing I noticed is it was recommended for 43"" and smaller tvs. This may be due to length, however I mounted it in the center of the TV with the included wall mount, and if centered properly it looks perfect. It is pretty loud as well, we usually have the volume between 15 and 25 out of 100.  I have the sub turned down and in a corner behind my couch (it just needs a wall outlet) and also sounds good.  The bar itself adjusts with the TV volume which displays on the TV when adjusted. Basically I never have to touch the sound bar or use it's remote (which is a good thing cause I haven't seen it in a month). One caveat with the wall mount is the optical cable plugs in on one side of the mount than has an opening for the wire to go into the wall on the other side. Because of this the optical cable has to be routed under the mount and is slightly visible."
Electronics_5,QW,"Let me say up front that I bought the 76cs almost exclusively for marine navigation. It is a great little GPS for that purpose and I'm sure it's equally good for hiking. There are a lot better choices for auto navigation but I'm totally happy with it for my purpose. I was initially quite skeptical that a handheld's small screen real estate could be useful as a chart plotter. Nonetheless, I purchased and installed the Blue Chart Americas CD and activated the Caribbean charts. After 2 weeks of constant use sailing in the Windward Islands, I'm astounded at how well it works. With the 'declutter' mode engaged, the screens show an appropriate level of detail and the display has excellent visibility in direct sun. Although the backlight is adequate for viewing in bright conditions under a boat's bimini, I found that I actually preferred to hold it out in the direct sunlight. I particularly like the ability to customize the paging sequence and the autozoom feature is handy as well. There is nothing intuitive about the interface but after I got over the learning curve, I was surprised how quickly I could get to the info I needed. Entering lat/lon waypoints is never going to be fun without a keyboard, but is certainly manageable. If you plan ahead, you can enter them on a PC and download them. A storage card slot would be nice but the entire Caribbean chart set used less than 1/4 of the available memory and on the plus side the unit really is waterproof. The battery life is about as advertised and you can really stretch it by turning it off and on as you need it because it gets a fix in about 15 seconds if you haven't moved too far."
Electronics_5,LAG,Got them for travel purpose and have them with me. works great. Nice little speaker! Works great. Great price!Works great. The sound is great.
Electronics_5,KR,Ce sac de transport esta an sucipación en el bien propolidad.
Electronics_5,PH,"Bit of a pain to use. The only way to fix it is to just throw the one-handed pair of ear buds away, and then get the plastic ones in place.I bought this to"
Electronics_5,LA,"Received the product in a timely manner.  It does have to be cut to size, but once done, it did the job."
Electronics_5,CG,"Great quality. I've only had it for a few weeks now, but you can feel the quality in the carefully crafted tips. The cable is tangle-free as stated of course and the cloth jacket is of good quality. Now it's just a thing of seeing if they last longer than my last cloth jacketed aux cable purchase."
Electronics_5,MX,"The 810 is an awesome case don't get me wrong. I really like it and am glad I picked this case after doing some research. I gave it 3 stars because there were a few things wrong with the case I noticed while re-assembling my PC. First there were a few blemishes on the paint, not horrible but still noticeable. The paint itself seems like it could get damaged pretty easy. Second, a section were the PSU is mounted was bent, but it didn't hinder the installation, just a little OCD kicking in. Third, the LED light in the back doesn't work (not sure if i missed a plug or anything) so there's that. Fourth, the fan's are nosier than I expected but that's remedied with a fan controller.

All in all the case is still great and is a huge upgrade from an Antec 900. But the 810 did come with a few unexpected imperfections. Not sure if it's because I purchased my antec from newegg and the 810 from Amazon but the antec was in pristine condition even though it arrived in a beat up box. Expected the 810 to have nothing wrong since the box seemed pretty mint, but i was mistaken.

I understand stuff like this happens, but for $170 this case should have nothing wrong with it. As a side note the case is packaged in a semi-soft foam, which was partially destroyed upon opening the box.

Hopefully there is nothing else wrong with the case.

UPDATE
*just found out the LED is powered by a SATA cable. So 1 star is bumped up."
